Publication,Publisher,Frequency,Circulation,H1 2021,change since H1 2020
AARP Magazine,AARP,6 times/year,22837929,-3.30%,
AARP Bulletin,AARP,10 times/year,22559697,-0.50%,
Better Homes and Gardens,Meredith,12 times/year,7621790,-0.40%,
People,Meredith,56 times/year,3418664,-2.40%,
Good Housekeeping,Hearst,10 times/year,3,336,585,-16.90%,
Reader's Digest,Trusted Media Brands,10 times/year,2654768,-0.80%,
Souther Living,Meredith,13 times/year,2812989,-0.30%,
Shape,Meredith,10 times/year,2529679,0.00%,
Woman's Day,Hearst,9 times/year,2370156,-3.40%,
Cosmopolitan,Hearst,10 times/year,2236867,-9.10%,
Parents,Meredith,12 times/year,2079112,1.20%,
Martha Stewart Living,Meredith,10 times/year,2072554,0.00%,
Real Simple,Meredith,12 times/year,1981284,-1.10%,
National Geographic,National Geographic Society,12 times/year,1972509,-7.40%,
US WEEKLY,A360 Media,52 times/year,1964662,0.30%,
EatingWell,Meredith,10 times/year,1,796,653,-0.60%,
Sports Illustrated,Maven,16 times/year,1,740,546,-6.70%,
In Style,Meredith,12 times/year,1728978,0.70%,
Food Network Magazine,Hearst,10 times/year,1719858,-2.70%,
Texas Co-op Power,Texas Elective Cooperatives,12 times/year,1741571,3.30%,
The American Legion magazine,The American Legion,12 times/year,1671713,-4.20%,
American Rifleman,National Rifle Association of America,11 times/year,1630719,-4.50%,
Golf Digest,Discovery Golf,8 times/year,1630793,0.20%,
Time,Time,50 times/year,1619538,0.10%,
Smithsonian,Smithsonian Institute,12 times/year,1597201,-1.10%,
Taste of Home,Reiman Media Group,6 times/year,1474129,-13.90%,
Men's Health,Hearst,10 times/year,1533663,-3.00%,
Bon Appetit,Conde Nast,10 times/year,1511940,-1.10%,
Entertainment Weekly,Meredith,21 times/year,1505479,-0.60%,
Allrecipes,Meredith,6 times/year,1471541,0.90%,
Health,Meredith,10 times/year,1370822,0.60%,
Women's Health,Hearst,10 times/year,1290138,-3.10%,
Vanity Fair,Conde Nast,12 times/year,1289422,5.90%,
New Yorker,Conde Nast,47 times/year,1289258,2.50%,
HGTV Magazine,Hearst,10 times/year,1266931,-2.80%,
Vogue,Conde Nast,12 times/year,1249072,2.50%,
Golf Magazine,EB Golf Media,8 times/year,1229119,1.10%,
Magnolia Journal,Meredith,4 times/year,1212007,-4.40%,
Allure,Conde Nast,10 times/year,1187217,0.60%,
Family Handyman,Trusted Media Brands,9 times/year,1099609,-6.00%,
Country Living,Hearst,10 times/year,1120355,-3.00%,
Car and Driver,Hearst,10 times/year,1077558,-3.20%,
Essence,Essence Ventures,6 times/year,1077213,0.70%,
TV Guide Magazine,TV Guide Magazine,52 times/year,1068988,-2.90%,
Birds and Blooms,Trusted Media Brands,6 times/year,977882,-2.50%,
Elle,Hearst,10 times/year,1029761,-3.00%,
Guideposts,Guideposts,10 times/year,1015761,-6.00%,
Men's Journal,A360 Media,6 times/year,1010583,0.00%,
Travel+Leisure,Meredith,12 times/year,962234,-0.10%,
Midwest Living,Meredith,6 times/year,958866,-0.30%,
