Year,Title,Circulation,Number
2019,First For Women,503512,0
2020,First For Women,401344,0
2021,First For Women,396048,0
2019,Woman's World,589432,22
2020,Woman's World,431444,22
2021,Woman's World,373303,22
2019,People,341548,17
2020,People,276539,17
2021,People,276561,17
2019,Magnolia Journal,336743,5
2020,Magnolia Journal,320928,5
2021,Magnolia Journal,274908,5
2019,Good Housekeeping,203366,15
2020,Good Housekeeping,629068,15
2021,Good Housekeeping,246277,15
2019,Better Homes and Gardens,72816,2
2020,Better Homes and Gardens,94977,2
2021,Better Homes and Gardens,224786,2
2019,Woman's Day,219536,12
2020,Woman's Day,110988,12
2021,Woman's Day,217115,12
2019,Country Living,137997,7
2020,Country Living,118763,7
2021,Country Living,170461,7
2019,Real Simple,121248,20
2020,Real Simple,121013,20
2021,Real Simple,131427,20
2019,Food Network Magazine,212147,10
2020,Food Network Magazine,214334,10
2021,Food Network Magazine,118611,10
