year,title,circulation
2000, Solar Energy, 62,
2001, Solar Energy, 77,
2002, Solar Energy, 89,
2003, Solar Energy, 104,
2004, Solar Energy, 127,
2005, Solar Energy, 190,
2006, Solar Energy, 354,
2007, Solar Energy, 523,
2008, Solar Energy, 758,
2009, Solar Energy, 1339,
2010, Solar Energy, 2465,
2011, Solar Energy, 4415,
2012, Solar Energy, 7976,
2013, Solar Energy, 9169,
2014, Solar Energy, 10697,
2015, Solar Energy, 10715,
2016, Solar Energy, 8803,
2017, Solar Energy, 9313,
2018, Solar Energy, 9857,
2019, Solar Energy, 10358,
2000,Coal,113,
2001,Coal,90,
2002,Coal,89,
2003,Coal,88,
2004,Coal,113,
2005,Coal,70,
2006,Coal,49,
2007,Coal,57,
2008,Coal,0,
2009,Coal,0,
2010,Coal,0,
2011,Coal,0,
2012,Coal,0,
2013,Coal,0,
2014,Coal,0,
2015,Coal,0,
2016,Coal,0,
2017,Coal,0,
2018,Coal,0,
2019,Coal,0,
2000,Petroleum,31711,
2001,Petroleum,31803,
2002,Petroleum,20456,
2003,Petroleum,25328,
2004,Petroleum,21819,
2005,Petroleum,25987,
2006,Petroleum,15915,
2007,Petroleum,23489,
2008,Petroleum,19331,
2009,Petroleum,17404,
2010,Petroleum,14315,
2011,Petroleum,17106,
2012,Petroleum,12884,
2013,Petroleum,13814,
2014,Petroleum,14856,
2015,Petroleum,23151,
2016,Petroleum,21803,
2017,Petroleum,20765,
2018,Petroleum,20742,
2019,Petroleum,21725,
2000,Natural Gas,164252,
2001,Natural Gas,136463,
2002,Natural Gas,151885,
2003,Natural Gas,165827,
2004,Natural Gas,175382,
2005,Natural Gas,176677,
2006,Natural Gas,158029,
2007,Natural Gas,174712,
2008,Natural Gas,174209,
2009,Natural Gas,185627,
2010,Natural Gas,186208,
2011,Natural Gas,196797,
2012,Natural Gas,179510,
2013,Natural Gas,179959,
2014,Natural Gas,211290,
2015,Natural Gas,171004,
2016,Natural Gas,159826,
2017,Natural Gas,155128,
2018,Natural Gas,174055,
2019,Natural Gas,161814,
